title,project,topic
"[BUG] Input[date|time|datetime-local] min & max attributes ignore ngModelOptions timezone",angular.js,TOPIC1
"fix(input): allow overriding timezone for date input types",angular.js,TOPIC1
"fix(input[text]): composing function dosen't works properly in IE",angular.js,TOPIC1
"fix($http): correct xhrStatus of different `timeout` values",angular.js,TOPIC1
"fix($$RAFProvider): prevent a JavaScript error in Firefox",angular.js,TOPIC1
"$overrideModelOptions does not apply timezone",angular.js,TOPIC1
"numberFilter unnecessary string to number to string conversion => precision issue",angular.js,TOPIC1
"$location issue for decoded and unencoded urls",angular.js,TOPIC1
"angular.copy does not support MediaStream object",angular.js,TOPIC1
"AnimateRunner adds to the $timeout queue when the document is hidden but does not flush the queue ",angular.js,TOPIC1
"ngOptions "track by" makes copies of array elements, expected references",angular.js,TOPIC1
"TypeError: Cannot assign to read only property 'data' of object '#<ImageData>'",angular.js,TOPIC1
"NgAnimate > ng-leave classes randomly fail to be applied on iOS browsers",angular.js,TOPIC1
"Infinite $digest() loop AngularJS with filter expression on html attribute",angular.js,TOPIC1
"jqLite#removeData shouldn't touch the event handlers' storage",angular.js,TOPIC1
"(fix): merge URI query into fragment in non-html5 $location mode.",angular.js,TOPIC1
"Fix: set $submitted on child forms when form is submitted",angular.js,TOPIC1
"'select multiple' elements transcluded inside a component don't compile in IE",angular.js,TOPIC1
"$viewChangeListeners not called with <input type="radio">",angular.js,TOPIC1
"jqLite "document ready" implementation causes lazy-loaded apps bootstrap to be delayed after window.onload",angular.js,TOPIC1
"Multiple binding expressions in radio button 'name' fields causes incorrect default values to be set",angular.js,TOPIC1
"Add parentNode check when removing JSONP request file",angular.js,TOPIC1
"Errors throw from $onChanges result in an array passed to $exceptionHandler",angular.js,TOPIC1
"fix($compile): support transcluding multi-element directives",angular.js,TOPIC1
"fix($compile): support transcluding multi-element directives",angular.js,TOPIC1
"fix($rootScope): don't allow explicit digest calls to affect $evalAsync",angular.js,TOPIC1
"fix($animateCss): avoid flicker caused by temporary classes",angular.js,TOPIC1
"fix($animateCss): avoid flicker caused by temporary classes",angular.js,TOPIC1
"Microsoft Edge: ng-model doesn't work with input type="number" and arrow keys",angular.js,TOPIC1
"ngMessage text is duplicated with ngAnimate when using $asyncValidators with low timeouts (<35ms)",angular.js,TOPIC1
"ngAnimate#on, if animated element doesn't exists, empty jQuery / jqLite selector",angular.js,TOPIC1
"ng-attr-xxx can't be used with ng-attr-data-xxx",angular.js,TOPIC1
"Manually calling $digest on a scope prevents $rootScope.$digest from executing for pending $evalAsyncs",angular.js,TOPIC1
"fix(currencyFilter): trim currency string",angular.js,TOPIC1
"$animate.leave causes IE error if raw DOM element passed",angular.js,TOPIC1
"fix(ngRepeat): trigger move animation",angular.js,TOPIC1
"ngRepeat does not trigger move animation",angular.js,TOPIC1
"ng-if around a single radio button removes the entire ngModelController from the formController",angular.js,TOPIC1
"ngAnimate: Issues with toggling animation on time",angular.js,TOPIC1
"bug(ngModel): `$setViewValue` doesn't call `$$debounceViewValue` when called with the appropriate `trigger`",angular.js,TOPIC1
"Input field model isn't updated after Alt Code sign in IE11",angular.js,TOPIC1
"ng-change event is not triggered for IE11 when the element has no keydown event fired",angular.js,TOPIC1
"fix(input): update $viewValue when cleared",angular.js,TOPIC1
"There is strange behaviour with radiobuttons and data-type in Chrome.",angular.js,TOPIC1
"Error ng-invalid-date whe then user clicks "X" in Chrome",angular.js,TOPIC1
"$asyncValidators run multiple times per element on load (given ng-repeat || ng-(min/max)length))",angular.js,TOPIC1
"ngAria should check for interactive child elements before binding role=button and tabindex=0",angular.js,TOPIC1
"feat(ngAria[ngClick]): preventDefault on pressing Space so the page doesn't scroll",angular.js,TOPIC1
"ng-animate 1.5.5 - ng-animate-ref - Broken on Safari Desktop and iOS 9.3",angular.js,TOPIC1
"ngRepeat breaks when re-created by ngIf under certain circumstances",angular.js,TOPIC1
"Date filter issue with UTC timezone when used from browser running in Isarel timezone and on DST change date Mar 25",angular.js,TOPIC1
"fix($timeout): `verifyNoPendingTasks()` throws even for non-timeout pending tasks",angular.js,TOPIC1
"Wrong order of rendered elements when using ng-repeat, ng-if, and a directive",angular.js,TOPIC1
"SVG 'image' tag in an external template file fails to compile",angular.js,TOPIC1
"ngTouch does not work in MS Edge",angular.js,TOPIC1
"fix($interpolate): always unescape escaped interpolation markers",angular.js,TOPIC1
"Escaped interpolation markers are not unescaped if there are no interpolated expressions in the same text",angular.js,TOPIC1
"ngMock: wrong parsing of pathParams when there are queryParams",angular.js,TOPIC1
"$animateCss used on a directive that uses a templateUrl breaks",angular.js,TOPIC1
"ng-hide and ng-show showing at the same time for a short period of time in IE11",angular.js,TOPIC1
"decodeURIComponent - prevent URIError",angular.js,TOPIC1
"ngSanitize 1.5.0 triggers Internet Explorer memory leak",angular.js,TOPIC1
"angular-mocks $httpBackend always return the same object instance when $http cache is enabled",angular.js,TOPIC1
"ngForm stays $dirty after control.$setPristine()",angular.js,TOPIC1
"fix removeFromArray",angular.js,TOPIC1
"Problems with ngModel input and Chinese IME",angular.js,TOPIC1
"ngMock window.inject() does not add inject() call location info to errors thrown from repeated inject() callback calls",angular.js,TOPIC1
"[don't merge]: fix($animateCss): respect transition styles already on the element",angular.js,TOPIC1
"ngOptions problems with updating object properties in options array",angular.js,TOPIC1
"the $emit loop is not aware which listener was removed",angular.js,TOPIC1
"IE11 Error: Invalid argument when parsing a link href containing a percent sign",angular.js,TOPIC1
"ng-options with track by and circular reference in objects -> Maximum call stack size exceeded",angular.js,TOPIC1
"ngOptions is setting select $dirty when options change and selected option is removed",angular.js,TOPIC1
"ngAnimate transitions on android webview 4.",angular.js,TOPIC1
"Safari autocomplete not updating model",angular.js,TOPIC1
"Svg Pattern Tag Removed using ngSanitize",angular.js,TOPIC1
"Potential Bug with URL Hash being decoded (Tested on Angular 1.4.2 & 1.4.7) ",angular.js,TOPIC1
"feat($resource): pass isArray to http config",angular.js,TOPIC1
"Raw exception object exposed to $http responseError interceptor on CSP violation",angular.js,TOPIC1
"reloadWithDebugInfo does not work when the host already uses window.name",angular.js,TOPIC1
"NUMBER_REGEXP doesn't match on decimal input[number] value on Windows Phone 8.1",angular.js,TOPIC1
"ngMessages(ngAnimate 1.4.5?): Flash of content before animation begins.",angular.js,TOPIC1
"Hidden animated panels are visible on page load",angular.js,TOPIC1
"Do not force a reload when navigating out of the app base",angular.js,TOPIC1
"mouseleave not caught in certain situations",angular.js,TOPIC1
"fix(input): patched input cjk binding bug on IE11 browser. (angularjs v1.4.4)",angular.js,TOPIC1
"ngAnimate assumes transition is linear instead of using the value in CSS",angular.js,TOPIC1
